scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=prefix80,SGCT,throughput_tags_per_sec,1821.248967,0.000000,1821.248967,50,1821.2490 +/- 0.0000
scenario_label=prefix80,DQTA(k_max=3),total_bits,1840377.220000,1455.292568,1848301.600000,50,1840377.2200 +/- 1455.2926
scenario_label=prefix80,DRCT,total_bits,5323755.060000,1497.496760,5330662.900000,50,5323755.0600 +/- 1497.4968
scenario_label=prefix80,EAQ_CBB,total_bits,2419227.020000,2028.957975,2433100.300000,50,2419227.0200 +/- 2028.9580
scenario_label=prefix80,EMDT,total_bits,1723480.840000,1458.362838,1731738.500000,50,1723480.8400 +/- 1458.3628
scenario_label=prefix80,HT_EEAC,total_bits,6996688.800000,41058.806329,7228283.900000,50,6996688.8000 +/- 41058.8063
scenario_label=prefix80,LAPCT,total_bits,3231459.980000,131.325451,3231846.150000,50,3231459.9800 +/- 131.3255
scenario_label=prefix80,NLHQT(n=2),total_bits,1079546.600000,287.028889,1080827.400000,50,1079546.6000 +/- 287.0289
scenario_label=prefix80,SGCT,total_bits,713225.000000,0.000000,713225.000000,50,713225.0000 +/- 0.0000
scenario_label=prefix80,DQTA(k_max=3),total_energy_uj,7396119.247525,11770.533078,7453995.725131,50,7396119.2475 +/- 11770.5331
scenario_label=prefix80,DRCT,total_energy_uj,10949737.036803,13357.016725,11015454.410575,50,10949737.0368 +/- 13357.0167
scenario_label=prefix80,EAQ_CBB,total_energy_uj,14310662.271280,14602.551507,14404750.489262,50,14310662.2713 +/- 14602.5515
